Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
AAP,2017-05-24,105.29,177.45546602,0.685397150918,57.0,5,2,0.94983729472,213.073444633,0.145731312532,0.035205,Consumer Discretionary
AAPL,2017-05-03,152.74,129.420834892,-0.152672286947,62.0,4,1,0.975787526928,615.590659183,0.247342519715,3.697689,Information Technology
ABC,2017-05-04,94.65,109.720073285,0.159218946484,58.0,7,1,0.953593214506,168.324093567,0.155330048529,0.072017,Health Care
ABT,2017-05-03,50.83,74.9303843921,0.474137013419,64.0,3,1,0.912167440651,219.091290925,0.125944910868,0.416223,Health Care
ADBE,2017-06-28,148.21,207.565610411,0.400483168551,65.0,2,1,0.877926543154,231.137247742,0.203266290717,0.349729,Information Technology
ADI,2017-05-31,79.52,257.494606817,2.23811125273,64.0,2,1,0.878063251239,227.830653557,0.138816517344,0.139959,Information Technology
ADM,2017-05-02,41.96,38.8886355266,-0.0731974374025,60.0,2,1,0.889490206839,238.444667582,0.152212752705,0.111474,Consumer Staples
ADP,2017-05-04,103.18,103.031386915,-0.00144032840534,64.0,2,1,0.959664139607,750.442806058,0.0954551378523,0.218487,Information Technology
ADS,2017-05-08,242.07,445.972349662,0.842328044209,62.0,5,1,0.925874044171,153.384724251,0.231135092597,0.06297,Information Technology
ADSK,2017-05-31,112.26,261.82572551,1.33231538847,62.0,2,1,0.867397992296,200.511600338,0.244549908687,0.101515,Information Technology
AEP,2017-04-28,68.84,67.8858521525,-0.013860369661,63.0,3,1,0.9531329417,421.296931572,0.0944750680385,0.159211,Utilities
AET,2017-05-02,156.25,151.052959685,-0.0332610580168,61.0,3,1,0.952795917695,404.69216863,0.149600589158,0.243145,Health Care
AFL,2017-05-03,78.06,73.7921438096,-0.0546740480454,63.0,5,1,0.84692478485,69.6059289341,0.145808878013,0.146964,Financials
AIG,2017-05-04,65.29,39.3169356066,-0.397810758054,64.0,3,1,0.878485899914,152.81945046,0.554866372558,0.266011,Financials
AIV,2017-05-05,43.43,59.1488003853,0.361934155776,63.0,2,1,0.827836944287,150.061859797,0.198739325384,0.031934,Real Estate
AIZ,2017-05-04,106.27,129.159538644,0.215390407864,50.0,3,1,0.84643443507,91.0273168602,0.160888865714,0.027722,Financials
AJG,2017-04-28,59.1,53.1122107491,-0.10131623098,63.0,6,1,0.923449494954,125.653801332,0.115704242058,0.049335,Financials
AKAM,2017-05-09,53.28,61.9037117555,0.161856451867,63.0,3,1,0.889748489785,167.783524504,0.355379690696,0.042779,Information Technology
ALB,2017-05-04,118.8,91.7823542233,-0.227421260747,62.0,3,2,0.941807707287,330.082927571,0.177612966275,0.061468,Materials
ALGN,2017-05-04,158.56,172.897799751,0.09042507411,62.0,4,1,0.909185682436,153.67506302,0.287887919976,0.056729,Health Care
ALK,2017-05-05,87.13,144.080694119,0.65362899253,64.0,3,2,0.959714962076,501.285347667,0.19452275765,0.051165,Industrials
ALL,2017-05-02,90.21,87.1374003097,-0.0340605220078,63.0,3,2,0.914943583019,223.309317983,0.112413527267,0.153532,Financials
ALXN,2017-04-27,129.35,172.453586597,0.333232211808,61.0,4,1,0.937285022434,225.177315886,0.355492976762,0.137432,Health Care
AME,2017-05-08,61.78,67.9588921839,0.100014441306,63.0,5,1,0.975774092904,500.448739078,0.125887884292,0.066718,Industrials
AMG,2017-05-05,181.46,136.918786071,-0.24546023327,63.0,2,1,0.85740462579,187.398356516,0.212357885895,0.047564,Financials
AMGN,2017-04-27,180.89,144.14115517,-0.203155756702,63.0,3,1,0.895694325717,178.46892671,0.148170147103,0.622331,Health Care
AMP,2017-05-03,138.84,130.926118631,-0.0570000098574,41.0,3,1,0.910050194602,135.897485781,0.172879094702,0.099297,Financials
AMT,2017-04-27,136.62,163.939150506,0.199964503775,62.0,3,1,0.91071750323,208.408206934,0.317137699693,0.274353,Real Estate
AMZN,2017-04-28,1039.87,2236.25585238,1.15051482625,63.0,4,1,0.947828332848,282.596122206,0.275105633716,1.925055,Consumer Discretionary
AN,2017-04-25,42.82,33.6371082186,-0.214453334456,63.0,2,1,0.884757579132,238.998167225,0.196977988489,0.013286,Consumer Discretionary
ANSS,2017-05-04,127.91,166.810493453,0.304123942248,64.0,4,1,0.946784423638,281.215976067,0.208938489746,0.050529,Information Technology
ANTM,2017-04-26,190.58,193.21165399,0.0138086577305,59.0,3,1,0.914734659562,208.40983375,0.140501121455,0.237598,Health Care
AON,2017-05-09,140.0,142.404544663,0.0171753190227,63.0,2,1,0.926273441962,390.472633266,0.15751203589,0.171557,Financials
APC,2017-07-24,45.72,37.8414067323,-0.172322687396,65.0,2,1,0.873196177467,221.358322965,0.174869304986,0.115099,Energy
APD,2017-04-27,145.04,196.621880542,0.355638999874,63.0,2,1,0.926466732594,391.577893837,0.132709624063,0.149106,Materials
APH,2017-05-04,75.84,66.1355278349,-0.127959812303,64.0,4,1,0.968435336758,484.225702007,0.140361810735,0.109686,Information Technology
ARE,2017-05-02,120.14,136.899428342,0.139499153835,63.0,3,1,0.873830688923,144.134391532,0.144531848644,0.051916,Real Estate
ATVI,2017-05-04,60.95,47.6891057199,-0.217570045613,64.0,3,1,0.822428175245,98.2620048476,0.352603588035,0.199161,Information Technology
AVB,2017-05-02,187.84,197.263839808,0.0501695049427,63.0,3,1,0.938018739655,313.76744796,0.161202607803,0.123037,Real Estate
AWK,2017-05-03,80.76,93.2682407493,0.154881633844,33.0,1,1,0.931275638268,434.628187639,0.149271086821,0.068082,Utilities
AXP,2017-04-27,85.41,81.16316162,-0.0497229642898,63.0,3,2,0.822508910974,96.7711037032,0.188583824288,0.302279,Financials
AYI,2017-06-29,206.25,190.976363955,-0.0740539929445,60.0,3,1,0.970222132361,641.779101479,0.156508257503,0.041214,Industrials
AZO,2017-06-14,511.01,684.283197261,0.33907985609,64.0,3,1,0.963300386346,552.213108243,0.158124843886,0.068201,Consumer Discretionary
