Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
A,2017-06-06,60.08,73.4845864949,0.223112291859,65.0,2,1,0.796060431423,125.909226705,0.199008291219,0.092777,Health Care
AAL,2017-07-28,50.49,39.3721286671,-0.220199471835,48.0,1,1,0.684935763656,103.17592852,0.543327042876,0.121633,Industrials
AAP,2017-05-24,110.21,177.45546602,0.610157572091,57.0,5,2,0.94983729472,213.073444633,0.145731312532,0.035205,Consumer Discretionary
AAPL,2017-05-03,149.5,129.420834892,-0.134308796711,62.0,4,1,0.975787526928,615.590659183,0.247342519715,3.697689,Information Technology
ABC,2017-05-04,93.97,109.720073285,0.167607462857,58.0,7,1,0.953593214506,168.324093567,0.155330048529,0.072017,Health Care
ABT,2017-05-03,49.61,74.9303843921,0.510388719857,64.0,3,1,0.912167440651,219.091290925,0.125944910868,0.416223,Health Care
ACN,2017-06-22,128.4,84.1584343547,-0.344560480104,60.0,2,2,0.79883350139,118.144695831,0.293611409339,0.377255,Information Technology
ADBE,2017-06-28,146.73,207.565610411,0.414609217004,65.0,2,1,0.877926543154,231.137247742,0.203266290717,0.349729,Information Technology
ADI,2017-05-31,79.24,257.494606817,2.24955334196,64.0,2,1,0.878063251239,227.830653557,0.138816517344,0.139959,Information Technology
ADM,2017-05-02,41.78,38.8886355266,-0.0692045110917,60.0,2,1,0.889490206839,238.444667582,0.152212752705,0.111474,Consumer Staples
ADP,2017-05-04,117.38,103.031386915,-0.122240697605,64.0,2,1,0.959664139607,750.442806058,0.0954551378523,0.218487,Information Technology
ADS,2017-05-08,241.05,445.972349662,0.850123831826,62.0,5,1,0.925874044171,153.384724251,0.231135092597,0.06297,Information Technology
ADSK,2017-05-31,111.5,261.82572551,1.34821278484,62.0,2,1,0.867397992296,200.511600338,0.244549908687,0.101515,Information Technology
AEE,2017-05-05,56.16,54.2212573262,-0.0345217712574,62.0,5,1,0.791151306573,47.2154959257,0.140463924042,0.063516,Utilities
AEP,2017-07-27,70.43,71.3959989112,0.0137157306718,64.0,3,1,0.955874144299,455.911450698,0.0937453284453,0.159211,Utilities
AES,2017-05-08,10.98,9.75778831144,-0.111312539941,59.0,3,1,0.754536502663,60.429226245,0.242394652175,0.034809,Utilities
AET,2017-05-02,155.29,151.052959685,-0.027284695184,61.0,3,1,0.952795917695,404.69216863,0.149600589158,0.243145,Health Care
AFL,2017-05-03,79.38,73.7921438096,-0.0703937539736,63.0,5,1,0.84692478485,69.6059289341,0.145808878013,0.146964,Financials
AIG,2017-05-04,65.27,39.3169356066,-0.397626235535,64.0,3,1,0.878485899914,152.81945046,0.554866372558,0.266011,Financials
AIV,2017-05-05,45.26,59.1488003853,0.306866999234,63.0,2,1,0.827836944287,150.061859797,0.198739325384,0.031934,Real Estate
