Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
A,2017-06-06,60.13,73.4845864949,0.222095235238,65.0,2,1,0.796060431423,125.909226705,0.199008291219,0.092777,Health Care
AAL,2017-07-28,50.8,39.3721286671,-0.224958097105,48.0,1,1,0.684935763656,103.17592852,0.543327042876,0.121633,Industrials
AAP,2017-05-24,111.01,177.45546602,0.598553878211,57.0,5,2,0.94983729472,213.073444633,0.145731312532,0.035205,Consumer Discretionary
AAPL,2017-08-02,156.39,119.597459919,-0.235261462251,63.0,4,1,0.976341487326,640.655301327,0.245920794545,3.697689,Information Technology
ABC,2017-08-03,80.83,116.240091128,0.438081048227,59.0,7,1,0.954604852429,175.238514165,0.155441043765,0.072017,Health Care
ABT,2017-08-02,49.26,78.3867744881,0.591286530412,65.0,3,1,0.904577296613,203.233308316,0.133787319222,0.416223,Health Care
ACN,2017-06-22,130.2,84.1584343547,-0.353621855955,60.0,2,2,0.79883350139,118.144695831,0.293611409339,0.377255,Information Technology
ADBE,2017-06-28,147.71,207.565610411,0.405223819721,65.0,2,1,0.877926543154,231.137247742,0.203266290717,0.349729,Information Technology
ADI,2017-05-31,77.78,257.494606817,2.31055035763,64.0,2,1,0.878063251239,227.830653557,0.138816517344,0.139959,Information Technology
ADM,2017-08-01,42.59,41.1896259184,-0.0328803494148,61.0,2,1,0.891352217772,247.121604921,0.151257689083,0.111474,Consumer Staples
ADP,2017-08-04,111.39,166.482212171,0.494588492419,65.0,3,2,0.957011259193,475.920637652,0.101787157382,0.218487,Information Technology
ADS,2017-05-08,239.27,445.972349662,0.863887447911,62.0,5,1,0.925874044171,153.384724251,0.231135092597,0.06297,Information Technology
ADSK,2017-05-31,108.39,261.82572551,1.41558931183,62.0,2,1,0.867397992296,200.511600338,0.244549908687,0.101515,Information Technology
AEE,2017-08-04,57.5,57.7737092919,0.00476016159802,63.0,5,1,0.80890034429,53.4876103618,0.139365089967,0.063516,Utilities
